attr_tract,HBO,HBShop,HBW,NHB,tothh,retl,manu,offi,gved,othr,totemp
53033000100,8918.300526833818,1023.9426410064896,6150.605427268217,470.203608114245,3779,508,121,680,28,199,1535
53033000200,25786.84108471043,148.13018462442383,0,10282.166218645758,3654,146,0,605,264,117,1189
53033000300,38.9776939130205,12.9925646376735,0,850.092228227353,1187,50,0,574,0,0,766
53033000401,1215.001112168588,477.8623408772501,83.1000000000004,2788.6539025989614,3760,385,0,773,211,99,1467
53033000402,5079.201321768174,352.9180805875243,0,5304.380605937295,2437,97,53,981,27,124,1281
53033000500,0,0,0,98.9304435350703,1251,0,0,96,2,93,197
53033000600,9786.705020375039,4217.268178519106,1936.9525929682472,32234.168725099284,3413,997,0,4017,527,101,6553
53033000700,5659.09046658748,32.37277097333316,177.94155772539713,4202.364744922833,2222,315,0,967,19,89,1493
53033000800,1652.645840609982,1.0768688036748475,0,2217.6708134447904,1067,0,0,33,61,15,125
53033000900,2074.899388820691,0,0,4.25,868,0,0,80,0,5,121
53033001000,805.7391763475501,552.704248696292,383.1250900194766,186.300000000003,765,45,0,475,436,15,1010
53033001100,0,0,8.66706154359484,0,1092,106,0,228,0,32,399
53033001200,13192.201302626783,2762.1503192568935,3871.305049201022,14166.3314706862,3781,2164,40,3947,61,47,6261
53033001300,2290.9580453839794,524.6426463183332,141.28517183413732,3444.7751431212064,2263,97,92,842,767,648,2447
53033001400,17850.939084746657,372.3671528626183,0,828.7676094624929,2333,289,0,478,61,23,909
53033001500,500.165327415628,0,0,0,1118,0,0,53,0,39,95
53033001600,7756.521382964701,561.843345997382,528.3975472795196,3165.201284744409,1858,212,0,456,182,87,970
53033001701,6481.965990534368,1436.1107781476976,127.60596302916593,2069.237828522974,2000,479,0,761,22,37,1317
53033001702,294.7751648689878,0,11.9363278043855,280.3220590890682,2274,0,17,748,1,79,856
53033001800,2421.8400961278753,1300.2661917371015,106.47439919026479,1524.4800252417883,2289,67,0,321,21,18,478
53033001900,9627.138187184983,980.9389115015832,827.5181589401533,1943.8314155617466,2264,32,0,3487,827,207,4553
53033002000,180.83824105002316,27.2216128790218,292.692228227353,622.9140376853751,1668,75,8,280,53,73,490
53033002100,16370.076995651549,334.799999989628,41.567722060922,3243.0437959633045,1782,19,0,644,66,17,761
53033002200,125.81445821304331,0,2.125,158.2291878185198,2306,0,0,510,0,41,587
